Frequency (Hz),Channel 1 Magnitude (X)
41000,0.9093570267959536
41175.9,0.909732158270729
41351.8,0.9098236179531836
41527.7,0.9095900324994128
41703.6,0.9097897429876993
41879.5,0.9093921829554481
42055.4,0.9085742407360946
42231.3,0.9090931361637102
42407.2,0.9096566758799609
42583.1,0.9095322484242006
42759,0.9094825323104266
42934.9,0.9094767387526024
43110.8,0.9095624389416028
43286.7,0.9086582583484644
43462.6,0.9095626714949256
43638.5,0.9099354471126662
43814.4,0.9096236590669655
43990.3,0.9093271694732938
44166.2,0.9091924879838933
44342.1,0.9101552842038979
44518,0.9101776411684406
44693.9,0.9101169138309301
44869.8,0.9100997535247651
45045.7,0.9105672718490956
45221.6,0.9101246767376912
45397.5,0.9093027780635518
45573.4,0.9098292816734708
45749.3,0.9103983824829385
45925.2,0.910476234353504
46101.1,0.9103682698603041
46277,0.9102829479701167
46452.9,0.9103604048953768
46628.8,0.9096638114455899
46804.7,0.9088950362454847
46980.6,0.9104261668270868
47156.5,0.9103902029875429
47332.4,0.9104506729964232
47508.3,0.9106760719917129
47684.2,0.9103738980647835
47860.1,0.9102911845686685
48036,0.9098049530910348
48211.9,0.909565633121993
48387.8,0.9102279998290317
48563.7,0.9102823474387135
48739.6,0.9100723236244993
48915.5,0.9101125691703282
49091.4,0.9102475497018478
49267.3,0.9099312160627095
49443.2,0.9093809459574576
49619.1,0.9085899238966082
49795,0.9096302065318493
49970.9,0.9098679738871179
50146.8,0.909779087383602
50322.7,0.9097208354386719
50498.6,0.9096485054637734
50674.5,0.9096438489842957
50850.4,0.9093436893125132
51026.3,0.9085477573337095
51202.2,0.9085881491105152
51378.1,0.9093822346289289
51554,0.9094536575480193
51729.9,0.9091606260545784
51905.8,0.9090861126066185
52081.7,0.9089477836777546
52257.6,0.9093737344584303
52433.5,0.908981023752744
52609.4,0.9078196962340286
52785.3,0.9084030552247923
52961.2,0.9088844774481191
53137.1,0.908948414754896
53313,0.9087739979904682
53488.9,0.9084983452379283
53664.8,0.9085948227738126
53840.7,0.9085663507084317
54016.6,0.907651582185899
54192.5,0.9070018195635534
54368.4,0.9083005857475659
54544.3,0.9086166066108219
54720.2,0.9083763545720324
54896.1,0.9082708470669117
55072,0.9083316663277909
55247.9,0.9083433570515254
55423.8,0.9081467177603011
55599.7,0.9073499666786611
55775.6,0.9072996425195546
55951.5,0.9076459181192971
56127.4,0.9079299477417979
56303.3,0.9078436275010763
56479.2,0.9072951334579159
56655.1,0.9062474080917138
56831,0.9070902106627035
57006.9,0.9076170399074128
57182.8,0.9076913561883129
57358.7,0.9076016456027178
57534.6,0.9076530805582275
57710.5,0.9072778447377289
57886.4,0.9079282608343086
58062.3,0.9074108075855385
